account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,latest_sdk_version,api_change_pct,content_change_pct,active_users_change_pct,workflow_change_pct,latest_api_calls,latest_active_users,ticket_count,p1_ticket_count,open_ticket_count,avg_resolution_hours,priority_score_total,using_v3_sdk,using_v4_0_sdk,competitor_mentioned,budget_pressure,executive_involved,security_concern,migration_concern,product_dissatisfaction,support_frustration,silent_churn,expansion_opportunity,renewal_sentiment,csm_risk_level,latest_csm_note,latest_nps,latest_nps_comment,comment_sentiment_score,nps_competitor_mentioned,nps_budget_pressure,nps_product_dissatisfaction,nps_support_frustration,nps_migration_concern,nps_renewal_risk,nps_comment_mismatch,any_competitor_signal,any_budget_pressure,any_migration_concern,any_product_dissatisfaction,product_risk_score,product_recommendations,risk_score,risk_tier,risk_reasons
1001,BrightPath Solutions,21000,2026-07-04,Starter,Travel & Hospitality,Sarah Chen,NA-East,v3.2.0,-56.88,-51.72,-50.0,-60.0,2334,1,13.0,10.0,6.0,62.55555555555556,109.0,True,False,True,False,True,False,False,True,False,False,False,negative,medium,"=== CSM Call Notes — Q1 2026 ===
(Internal use only. Various CSMs.)

Mar 12 - Talked to Acme Corp. They're frustrated with the new editor. 
Might be evaluating Hygraph. VP of Engineering was on the call which is unusual.
They mentioned their contract is coming up and want to ""explore options."" Sarah flagged
this internally but hasn't heard back from leadership.",8.0,Support takes forever. Our P1 sat open for 3 weeks.,2.0,False,False,False,True,False,medium,1.0,True,False,False,True,30,"['Prioritize SDK v4 migration', 'Schedule product feedback session', 'Run competitive positioning review']",165,HIGH,API usage declined >50%; Active users declined >50%; Workflow activity collapsed; Multiple P1 incidents; Several unresolved tickets; NPS/comment mismatch; Competitor evaluation; Executive escalation; Product dissatisfaction; Product risk score: 30
1003,Meridian Health,193000,2026-06-12,Growth,Media & Publishing,David Kim,LATAM,v3.1.2,-39.01,-31.84,-36.36,-48.15,16451,7,8.0,1.0,5.0,49.98333333333333,32.0,True,False,True,False,True,False,True,False,False,False,False,negative,high,"2026-03-20 | NovaTech Industries | James O.
Extremely tense call. They've had 4 P1 tickets in the last month, all related to the 
v3 SDK deprecation. Their engineering team spent 200+ hours on workarounds. CTO 
joined the call and asked point blank if we have a migration path. I said we do but 
couldn't give a timeline. They mentioned Strapi and Sanity by name. Need to escalate.",8.0,Great support team. Always responsive.,10.0,False,False,False,False,False,low,0.0,True,False,True,False,35,"['Prioritize SDK v4 migration', 'Run competitive positioning review', 'Assign migration specialist']",123,HIGH,API usage declined >25%; Active users declined >25%; Recent P1 incidents; Several unresolved tickets; Competitor evaluation; Executive escalation; Migration risk; Product risk score: 35
1008,Crescent Labs,390000,2026-07-02,Scale,Media & Publishing,James Okafor,NA-East,v4.1.0,12.04,-20.0,-13.89,19.77,76442,31,3.0,1.0,0.0,18.933333333333334,17.0,False,False,True,True,True,False,False,True,False,False,False,negative,high,"4/5 - Zenith Publishing (#1007)
Renewl conversation started. They want a 30% discount or they walk. Current ARR is 
high but margin is already thin. Editor performance on their 50k+ entry library is 
painful and they know it. Competitor POC with Kontent.ai is apparently already underway.
CRO was cc'd on the last email thread which is never a good sign.",5.0,Fine for now but we're watching competitors closely.,5.0,True,False,False,False,False,low,0.0,True,True,False,True,10,"['Schedule product feedback session', 'Run competitive positioning review']",97,HIGH,Recent P1 incidents; Detractor NPS; Competitor evaluation; Budget pressure; Executive escalation; Product dissatisfaction; Product risk score: 10
1102,Goldrush Fintech,257000,2026-07-28,Scale,Retail,Anna Kowalski,APAC,v4.3.0,-2.93,34.93,29.41,10.42,85148,44,2.0,0.0,0.0,12.45,3.0,False,False,,,,,,,,,,,,,8.0,We evaluated 5 CMS platforms. Contentstack won easily.,10.0,True,False,False,False,False,low,0.0,True,False,False,False,10,"['Review security roadmap', 'Run competitive positioning review']",65,HIGH,Competitor evaluation; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1077,Comet Data Sciences,856000,2026-08-27,Enterprise,Retail,Raj Patel,NA-East,v4.3.0,32.39,16.41,7.87,28.09,258401,96,1.0,0.0,0.0,11.4,1.0,False,False,,,,,,,,,,,,,4.0,We evaluated 5 CMS platforms. Contentstack won easily.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],60,HIGH,Very low NPS; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1012,Quantum Commerce,93000,2026-06-18,Growth,Travel & Hospitality,Emily Watson,LATAM,v4.0.0,-13.7,-47.68,-30.77,-45.45,18730,9,6.0,0.0,2.0,31.46666666666667,20.0,False,True,False,False,False,False,True,False,True,False,False,neutral,medium,"3/26 skyline travel (1011)
They're expanding internationally which is great, but struggling with our locale 
management. Filed 3 tickets about locale fallback behavior. On SDK v4.0 so they 
missed the fix in v4.2. Could go either way on renewal. They asked to talk to PM.",6.0,Solid CMS but the pricing feels steep for what we get.,4.0,False,True,False,False,False,medium,0.0,False,True,True,False,0,['Assign migration specialist'],60,HIGH,Active users declined >25%; Detractor NPS; Budget pressure; Migration risk; Support frustration
1081,Daybreak Solar,89000,2026-07-17,Growth,Financial Services,Anna Kowalski,NA-West,v4.2.3,15.0,0.0,7.69,20.0,25727,14,3.0,1.0,0.0,10.633333333333333,16.0,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,10,['Review security roadmap'],60,HIGH,Recent P1 incidents; NPS/comment mismatch; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1027,Cedar Hill Partners,645000,2026-06-27,Enterprise,Healthcare,Priya Sharma,APAC,v4.3.0,6.29,28.08,-10.11,15.33,201861,80,1.0,0.0,0.0,8.3,2.0,False,False,,,,,,,,,,,,,5.0,Would recommend to anyone in our industry.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],52,MEDIUM,Detractor NPS; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1028,Arctic Fox Games,119000,2026-06-26,Growth,Government,Anna Kowalski,NA-West,v4.2.3,-1.04,57.32,-8.33,0.0,25775,11,2.0,0.0,1.0,7.1,7.0,False,False,,,,,,,,,,,,,6.0,Transformed how our team publishes content. Love it.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],52,MEDIUM,Detractor NPS; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
1070,Mirage Digital Agency,117000,2026-08-06,Growth,Travel & Hospitality,Sarah Chen,LATAM,v4.2.3,9.03,18.56,7.69,30.77,23780,14,2.0,0.0,0.0,16.950000000000003,3.0,False,False,,,,,,,,,,,,,5.0,Best headless CMS on the market. Period.,10.0,False,False,False,False,False,low,0.0,False,False,False,False,10,['Review security roadmap'],52,MEDIUM,Detractor NPS; Executive escalation; Security/compliance concerns; Support frustration; Silent churn pattern; Product risk score: 10; Expansion opportunity
