account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,latest_sdk_version,api_change_pct,content_change_pct,active_users_change_pct,workflow_change_pct,latest_api_calls,latest_active_users,ticket_count,p1_ticket_count,open_ticket_count,avg_resolution_hours,priority_score_total,using_v3_sdk,using_v4_0_sdk,competitor_mentioned,budget_pressure,executive_involved,security_concern,migration_concern,product_dissatisfaction,support_frustration,silent_churn,expansion_opportunity,renewal_sentiment,csm_risk_level,latest_csm_note,latest_nps,latest_nps_comment,comment_sentiment_score,nps_competitor_mentioned,nps_budget_pressure,nps_product_dissatisfaction,nps_support_frustration,nps_migration_concern,nps_renewal_risk,nps_comment_mismatch,any_competitor_signal,any_budget_pressure,any_migration_concern,any_product_dissatisfaction,product_risk_score,product_recommendations
1000,Acme Corp,17000,2026-05-25,Starter,Media & Publishing,Carlos Mendez,NA-West,v3.2.0,-52.24,-38.1,-50.0,-50.0,2246,1,7.0,2.0,2.0,60.31666666666666,39.0,True,False,,,,,,,,,,,,,6.0,The new editor is a downgrade. We've wasted months trying to adapt.,1.0,False,False,True,False,False,high,0.0,False,False,False,True,40,"['Prioritize SDK v4 migration', 'Review security roadmap', 'Schedule product feedback session']"
1001,BrightPath Solutions,21000,2026-07-04,Starter,Travel & Hospitality,Sarah Chen,NA-East,v3.2.0,-56.88,-51.72,-50.0,-60.0,2334,1,13.0,10.0,6.0,62.55555555555556,109.0,True,False,True,False,True,False,False,True,False,False,False,negative,medium,"=== CSM Call Notes — Q1 2026 ===
(Internal use only. Various CSMs.)

Mar 12 - Talked to Acme Corp. They're frustrated with the new editor. 
Might be evaluating Hygraph. VP of Engineering was on the call which is unusual.
They mentioned their contract is coming up and want to ""explore options."" Sarah flagged
this internally but hasn't heard back from leadership.",8.0,Support takes forever. Our P1 sat open for 3 weeks.,2.0,False,False,False,True,False,medium,1.0,True,False,False,True,30,"['Prioritize SDK v4 migration', 'Schedule product feedback session', 'Run competitive positioning review']"
1002,NovaTech Industries,29000,2026-05-19,Starter,Manufacturing,Sarah Chen,LATAM,v3.2.0,-72.05,-69.23,-66.67,-80.0,1366,1,14.0,5.0,5.0,54.1375,76.0,True,False,False,True,True,False,False,False,False,False,False,negative,high,"3/15 acct 1001 - BritePath Solutions (sic) call. No show for the third 
time this quarter. Their admin told me the team has been pulled into a CMS evaluation 
project led by their CTO. Budget was cut 20% across all SaaS vendors.",0.0,Support takes forever. Our P1 sat open for 3 weeks.,2.0,False,False,False,True,False,medium,0.0,False,True,False,False,20,['Prioritize SDK v4 migration']
1003,Meridian Health,193000,2026-06-12,Growth,Media & Publishing,David Kim,LATAM,v3.1.2,-39.01,-31.84,-36.36,-48.15,16451,7,8.0,1.0,5.0,49.98333333333333,32.0,True,False,True,False,True,False,True,False,False,False,False,negative,high,"2026-03-20 | NovaTech Industries | James O.
Extremely tense call. They've had 4 P1 tickets in the last month, all related to the 
v3 SDK deprecation. Their engineering team spent 200+ hours on workarounds. CTO 
joined the call and asked point blank if we have a migration path. I said we do but 
couldn't give a timeline. They mentioned Strapi and Sanity by name. Need to escalate.",8.0,Great support team. Always responsive.,10.0,False,False,False,False,False,low,0.0,True,False,True,False,35,"['Prioritize SDK v4 migration', 'Run competitive positioning review', 'Assign migration specialist']"
1004,Pinnacle Media Group,203000,2026-05-10,Scale,Travel & Hospitality,Raj Patel,EMEA,v3.4.1,-59.47,-56.35,-53.33,-60.0,33615,14,7.0,2.0,2.0,69.26666666666667,35.0,True,False,False,False,True,False,True,False,False,True,False,negative,medium,"march 25 -- meridian health -- priya
Good news/bad news. NPS came back at 8 (decent) but their actual usage has cratered.
Turns out they built a custom middleware layer and are slowly moving content to a 
homegrown solution. The score reflects the *people* like our support team, not that 
they plan to stay. Classic silent churn pattern. VP of Digital was on the last call 
and asked about data export APIs.",6.0,Constant downtime and no communication. We're done.,1.0,False,False,True,False,False,high,0.0,False,False,True,True,45,"['Prioritize SDK v4 migration', 'Schedule product feedback session', 'Assign migration specialist']"
1005,Vanguard Retail,106000,2026-06-02,Growth,Financial Services,James Okafor,APAC,v3.2.0,-73.17,-76.96,-69.23,-62.96,7557,4,8.0,2.0,2.0,51.357142857142854,47.0,True,False,True,True,False,False,False,False,False,False,False,negative,medium,"3/28 Pinacle Media (acct 1004)
They're fine on the product side but the billing team is furious about the mid-cycle 
price increase. Threatened to go to Contentful. I've offered to set up a call with 
our finance team but they haven't responded. Two missed QBRs in a row.",2.0,Support takes forever. Our P1 sat open for 3 weeks.,1.0,False,False,False,True,False,high,0.0,True,True,False,False,20,"['Prioritize SDK v4 migration', 'Run competitive positioning review']"
1006,Atlas Financial,39000,2026-06-03,Starter,Government,Emily Watson,NA-East,v3.4.1,-51.19,-53.57,-66.67,-50.0,2357,1,8.0,4.0,4.0,58.98333333333333,51.0,True,False,False,False,False,False,False,True,True,False,False,negative,high,"Apr 1 - vanguard retail
just a quick note: they've stopped using workflows entirely since the Feb update broke
their automation. they filed a ticket but it's been open for 6 weeks. the ops manager 
told me she's ""lost faith in the roadmap."" she used to be our biggest champion there.",8.0,We love the CONCEPT but the execution has fallen off a cliff this year.,2.0,False,False,True,False,False,medium,1.0,False,False,False,True,30,"['Prioritize SDK v4 migration', 'Schedule product feedback session']"
1007,Zenith Publishing,1625000,2026-05-05,Enterprise,Travel & Hospitality,James Okafor,LATAM,v3.1.2,-61.79,-67.08,-56.76,-56.31,79123,32,6.0,2.0,3.0,40.474999999999994,30.0,True,False,False,False,True,True,True,False,False,False,False,negative,high,"04/03 Atlas Financial
Quarterly business review went poorly. They brought their CISO and asked about our 
SOC 2 audit timeline (we're behind). Also asked about single-tenancy options which 
we don't offer on their current plan. They're in a regulated industry so this is a 
dealbreaker if we can't address it. Also on SDK v3.1 and hitting the deprecated 
endpoints daily.",,,,,,,,,,,False,False,True,False,45,"['Prioritize SDK v4 migration', 'Review security roadmap', 'Assign migration specialist']"
1008,Crescent Labs,390000,2026-07-02,Scale,Media & Publishing,James Okafor,NA-East,v4.1.0,12.04,-20.0,-13.89,19.77,76442,31,3.0,1.0,0.0,18.933333333333334,17.0,False,False,True,True,True,False,False,True,False,False,False,negative,high,"4/5 - Zenith Publishing (#1007)
Renewl conversation started. They want a 30% discount or they walk. Current ARR is 
high but margin is already thin. Editor performance on their 50k+ entry library is 
painful and they know it. Competitor POC with Kontent.ai is apparently already underway.
CRO was cc'd on the last email thread which is never a good sign.",5.0,Fine for now but we're watching competitors closely.,5.0,True,False,False,False,False,low,0.0,True,True,False,True,10,"['Schedule product feedback session', 'Run competitive positioning review']"
1009,Orion Education,126000,2026-04-30,Growth,Media & Publishing,James Okafor,APAC,v4.0.0,-25.38,-9.82,10.0,15.38,20197,11,3.0,0.0,0.0,31.73333333333333,7.0,False,True,False,False,False,False,False,False,False,False,True,neutral,low,"3/10 - crescent labs
Happy with the product overall but their new VP of Marketing wants to see an ROI 
report before signing off on renewal. Asked for case studies in their vertical 
(biotech). We don't have any ready. I need to work with marketing on this.
Usage is stable but not growing.",8.0,Fine for now but we're watching competitors closely.,5.0,True,False,False,False,False,low,0.0,True,False,False,False,0,['Run competitive positioning review']
1010,TerraFirma Manufacturing,438000,2026-07-10,Scale,SaaS / Technology,Priya Sharma,EMEA,v4.0.0,-32.01,-24.82,-46.15,-5.88,58412,21,7.0,0.0,1.0,28.0,18.0,False,True,False,False,True,False,False,False,False,False,False,neutral,medium,"3/18 orion education (1009)
They love the product but are merging with another ed-tech company that uses WordPress.
Unclear which platform survives. Decision expected by May. Their champion (Director 
of Content) is nervous about her own role post-merger. She's been our main advocate.",,,,,,,,,,,False,False,False,False,0,[]
